,multi,text,has_url,comments,pics,source,likes,time,reposts,user.verified,user.description,user.gender,user.messages,user.followers,user.location,user.time,user.friends,user.verified_type,multi_type,user,rumor
0,,人间惨剧：今天下午约14点，宁波妇儿医院，一妇女携带一婴儿在住院楼跳楼，后抢救无效死亡。具体情况有关部门正在调查。据现场网友称妇女因小孩病重，加上负担不起昂贵的医疗费，带着刚满月的宝宝从12楼跳楼身亡。[蜡烛] 底层民众的医疗费用猛于虎，国人的性命其何等脆弱！[泪],False,55,1,微博 weibo.com,0,1347334462,225,False,True,f,5653.0,227833.0,上海,1312112304.0,907.0,-1.0,,,1
1,,再去武大，已无牌坊！非要拆掉？@章立凡 @袁裕来律师 @老徐时评 @徐昕 @杨锦麟 @左小祖咒 @于建嵘 @袁飏先生,False,170,1,微博 weibo.com,0,1349768694,395,False,False,m,11882.0,59624.0,其他,1302581825.0,1923.0,-1.0,,,1
2,,"中国最美丽的乡村""江西婺源""一""教师打死学生"" 昨晚，在被誉为中国最美丽的乡村江西省婺源县清华中学发生了一起“老师打死学生”的校园暴力事件 。这一骇人听闻的消息引起了全社会的极大震惊，本应为人师表的教师，缘何致学生于死地？中国的教育 改革问题在不少地方容... http://t.cn/zY1QWp0",True,466,0,微吧,0,1363146924,685,False,True,m,76.0,66.0,江西 上饶,1318493987.0,82.0,-1.0,,,1
3,,忍者QS：江苏省东海县女镇党委书记徐艳，因不愿陪县委书记关永健上床，竟然被警察毒打致子宫破裂。徐艳一怒揭开6亿贪污大案---东海县石梁河水库水淹地补偿款案，县委书记关永健一个人竟贪污6亿多元。关永健每年搞全县科级干部大调整，仅此每年受贿2000万以上。--转自人网 http://t.cn/zjKyD4R,True,15,0,微博 weibo.com,6,1380971862,120,False,True,m,22989.0,8358.0,吉林 吉林,1297253360.0,1474.0,-1.0,,,1
4,,《北大猛男，持刀刺官！！！》“可歌可泣”的是王同学投案自首之后冷冷说了一句话是 “我并不后悔。是他们不让我依靠自力生存！！！！！！”微评：认真读图文字，不要说话！[泪],False,78,1,360安全浏览器,11,1368078370,532,False,True,f,2911.0,1096.0,新疆 巴音郭楞,1355300133.0,1118.0,-1.0,,,1
5,,好心人帮忙转发下！　　　　　　　 　 　昨日福建省泉州市警察局抓到几个拐卖小孩犯罪团伙，现场获救了一名5岁的小孩。 　 　因他还小，说不清楚自己家的详细地址和家里的电话。　只知道他是云南昭通市人！让他们一家团圆！　请看到的每一个朋友都能帮忙转一下！  就是这位小男孩。,False,1,1,iPhone客户端,0,1353669030,157,False,True,f,41285.0,3512.0,上海 黄浦区,1308361745.0,2995.0,220.0,,,1
6,,【怎么鉴定地沟油】炒菜时放一颗剥皮的蒜头(蒜子)，蒜子对黄曲霉素最敏感。如果蒜子变红色就是地沟油，含有大量黄曲霉素。把你家里的油放到冰箱里2个小时，如果出现白色的泡沫一样，那就是地沟油。请发出你的爱心， 转给身边滴朋友吧！   ,False,44,1,皮皮时光机,3,1352901024,929,False,True,f,4499.0,172011.0,北京 朝阳区,1289611165.0,26.0,-1.0,,,1
7,,湖南省交通厅原副厅长李晓希在今年两会上说；目前，我国《刑法》对贪污受贿量刑太轻了。如果贪污受贿50万元就被枪毙，就不会有人敢腐败了。话刚说完，他因涉嫌贪污受贿2亿元，被省纪委立案调查！贪腐50万就枪毙，不知李副厅长2亿元该枪毙多少次！,False,246,1,iPhone客户端,1,1349848979,700,False,True,f,1553.0,3508.0,山东 青岛,1291862724.0,223.0,220.0,,,1
8,,让历史照进现实！,False,74,1,皮皮时光机,7,1375334952,243,True,True,m,20241.0,104529.0,山东 济南,1307191945.0,468.0,0.0,,,1
9,,转来的，有懂阿拉伯语的吗，给翻译翻译！——叙利亚标语：中国，你们的道德比你们的产品还垃圾 ！ - 在叙利亚战火弥漫血肉横飞的时候，该国一名女子打出来的一幅标语让中国人震惊：“中国：你们的道德比你们的产品还垃圾。”这个标语让国人感到震惊，这幅照片成了... http://t.cn/zjHMWgO,True,46,1,微博 weibo.com,0,1356906812,166,False,True,m,8897.0,29364.0,辽宁 沈阳,1307206530.0,438.0,-1.0,,,1
